"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
059719,3,,4,,89,,3,,86,,3,,82,,3,,87,,75,,127,,21,,
059720,Not Available,9,Not Available,9,79,9,Not Available,9,52,9,Not Available,9,55,9,Not Available,9,53,9,44,9,9,9,17,9,9
059721,1,,1,,80,,2,,78,,1,,70,,1,,76,,66,,167,,16,,
059722,Not Available,11,Not Available,11,78,11,Not Available,11,76,11,Not Available,11,62,11,Not Available,11,74,11,56,11,38,11,17,11,11
059723,Not Available,11,Not Available,11,75,11,Not Available,11,82,11,Not Available,11,72,11,Not Available,11,70,11,74,11,26,11,19,11,11
059724,Not Available,11,Not Available,11,58,11,Not Available,11,66,11,Not Available,11,73,11,Not Available,11,49,11,54,11,11,11,15,11,11
059725,3,,3,,86,,2,,82,,2,,76,,3,,81,,74,,413,,21,,
059726,4,11,5,11,92,11,3,11,88,11,3,11,83,11,4,11,91,11,77,11,54,11,21,11,11
059727,3,,3,,86,,2,,80,,2,,73,,3,,84,,68,,249,,24,,
059728,Not Available,9,Not Available,9,99,9,Not Available,9,94,9,Not Available,9,90,9,Not Available,9,95,9,87,9,10,9,8,9,9
059729,3,,3,,86,,3,,83,,2,,75,,3,,82,,73,,391,,21,,
059731,Not Available,11,Not Available,11,66,11,Not Available,11,56,11,Not Available,11,73,11,Not Available,11,52,11,62,11,32,11,18,11,11
059732,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059733,1,11,1,11,78,11,1,11,74,11,2,11,78,11,1,11,73,11,60,11,68,11,17,11,11
059734,Not Available,11,Not Available,11,91,11,Not Available,11,88,11,Not Available,11,99,11,Not Available,11,85,11,91,11,35,11,7,11,11
059735,Not Available,11,Not Available,11,96,11,Not Available,11,91,11,Not Available,11,100,11,Not Available,11,94,11,68,11,32,11,13,11,11
059736,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059737,Not Available,11,Not Available,11,95,11,Not Available,11,95,11,Not Available,11,98,11,Not Available,11,95,11,89,11,27,11,29,11,11
059738,Not Available,11,Not Available,11,94,11,Not Available,11,88,11,Not Available,11,77,11,Not Available,11,93,11,70,11,26,11,14,11,11
059739,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059740,Not Available,11,Not Available,11,82,11,Not Available,11,85,11,Not Available,11,96,11,Not Available,11,74,11,81,11,30,11,26,11,11
059741,Not Available,"9,10",Not Available,"9,10",98,"9,10",Not Available,"9,10",99,"9,10",Not Available,"9,10",100,"9,10",Not Available,"9,10",97,"9,10",95,"9,10",8,"9,10",14,"9,10","9,10"
059742,5,11,5,11,93,11,5,11,92,11,5,11,98,11,5,11,99,11,87,11,67,11,36,11,11
059743,Not Available,11,Not Available,11,80,11,Not Available,11,86,11,Not Available,11,100,11,Not Available,11,75,11,76,11,25,11,5,11,11
059744,Not Available,11,Not Available,11,94,11,Not Available,11,91,11,Not Available,11,90,11,Not Available,11,94,11,82,11,12,11,6,11,11
059747,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059748,2,,2,,80,,2,,79,,4,,84,,1,,76,,68,,76,,17,,
059749,2,,2,,80,,3,,82,,2,,74,,1,,74,,74,,72,,22,,
059750,Not Available,11,Not Available,11,77,11,Not Available,11,73,11,Not Available,11,73,11,Not Available,11,54,11,56,11,36,11,20,11,11
059751,Not Available,11,Not Available,11,96,11,Not Available,11,90,11,Not Available,11,89,11,Not Available,11,86,11,87,11,19,11,15,11,11
059752,2,,2,,83,,2,,80,,1,,70,,2,,76,,61,,216,,21,,
059753,Not Available,11,Not Available,11,90,11,Not Available,11,83,11,Not Available,11,72,11,Not Available,11,92,11,59,11,13,11,9,11,11
059754,Not Available,11,Not Available,11,90,11,Not Available,11,96,11,Not Available,11,99,11,Not Available,11,94,11,87,11,34,11,16,11,11
059755,Not Available,9,Not Available,9,77,9,Not Available,9,82,9,Not Available,9,95,9,Not Available,9,83,9,92,9,10,9,11,9,9
059757,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059758,Not Available,9,Not Available,9,48,9,Not Available,9,34,9,Not Available,9,47,9,Not Available,9,22,9,17,9,10,9,9,9,9
059759,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059760,1,11,1,11,78,11,1,11,71,11,2,11,79,11,1,11,75,11,65,11,58,11,18,11,11
059761,Not Available,11,Not Available,11,79,11,Not Available,11,82,11,Not Available,11,83,11,Not Available,11,79,11,78,11,20,11,14,11,11
059762,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059763,Not Available,11,Not Available,11,74,11,Not Available,11,73,11,Not Available,11,84,11,Not Available,11,80,11,69,11,17,11,21,11,11
059764,2,,2,,83,,2,,80,,2,,78,,2,,79,,64,,311,,20,,
059765,Not Available,9,Not Available,9,58,9,Not Available,9,60,9,Not Available,9,66,9,Not Available,9,37,9,38,9,7,9,10,9,9
059766,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059768,3,,4,,87,,3,,85,,3,,81,,2,,82,,75,,192,,20,,
059769,Not Available,11,Not Available,11,89,11,Not Available,11,92,11,Not Available,11,80,11,Not Available,11,81,11,68,11,25,11,20,11,11
059770,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059771,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059772,Not Available,11,Not Available,11,87,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,94,11,89,11,16,11,22,11,11
059773,Not Available,11,Not Available,11,86,11,Not Available,11,80,11,Not Available,11,80,11,Not Available,11,76,11,79,11,35,11,21,11,11
059774,Not Available,11,Not Available,11,86,11,Not Available,11,80,11,Not Available,11,76,11,Not Available,11,93,11,76,11,21,11,19,11,11
059775,Not Available,9,Not Available,9,93,9,Not Available,9,85,9,Not Available,9,92,9,Not Available,9,100,9,90,9,8,9,6,9,9
059776,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059777,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
